Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	 Status
0	2019-06-03	10:28:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.32	vol-%	wet	0.0037	418.76	ppm	dry	0.0026	  1.83	ppm	dry	0.0021	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:28:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.32	vol-%	wet	0.0038	427.59	ppm	dry	0.0027	  1.89	ppm	dry	0.0019	  0.27	ppm	dry	0.0022	OK
0	2019-06-03	10:28:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.33	vol-%	wet	0.0039	426.21	ppm	dry	0.0026	  1.86	ppm	dry	0.0020	  0.24	ppm	dry	0.0024	OK
0	2019-06-03	10:29:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.33	vol-%	wet	0.0037	423.20	ppm	dry	0.0026	  1.81	ppm	dry	0.0021	  0.22	ppm	dry	0.0023	OK
0	2019-06-03	10:29:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.32	vol-%	wet	0.0036	424.81	ppm	dry	0.0026	  1.88	ppm	dry	0.0022	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:29:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.34	vol-%	wet	0.0038	426.71	ppm	dry	0.0026	  1.84	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:29:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.34	vol-%	wet	0.0040	434.25	ppm	dry	0.0025	  1.87	ppm	dry	0.0021	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:29:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.34	vol-%	wet	0.0040	434.49	ppm	dry	0.0026	  1.89	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:29:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.34	vol-%	wet	0.0038	432.87	ppm	dry	0.0026	  1.88	ppm	dry	0.0020	  0.23	ppm	dry	0.0022	OK
0	2019-06-03	10:29:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.35	vol-%	wet	0.0039	437.27	ppm	dry	0.0026	  1.86	ppm	dry	0.0019	  0.24	ppm	dry	0.0022	OK
